price,stNumber,stName,size,beacon,baseFloor,buildingStyle,elevators,rooms,bedrooms,fullBathrooms,halfBathrooms,garage
605000,20,CHAPEL ST,1172,0,6,HIGH-RISE,6,5,2,2,0,1
399000,36,DWIGHT ST,964,0,2,LOW-RISE,0,5,2,1,0,0
475000,45,LONGWOOD AVE,1134,0,3,MID-RISE,2,4,2,2,0,1
735000,62,PLEASANT ST,1854,0,1,ROW-END,0,8,2,2,0,0
340000,1450,BEACON ST,968,1,8,HIGH-RISE,4,4,2,1,0,0
2350000,120,SEAVER ST,2510,0,1,MID-RISE,3,7,3,3,0,1
359000,1064,BEACON ST,600,1,1,LOW-RISE,0,3,1,1,0,0
337000,1080,BEACON ST,756,1,3,MID-RISE,1,3,1,1,0,0
625000,5,PARK ST,1649,0,3,LOW-RISE,0,6,3,2,0,0
360000,34,PARKMAN ST,721,0,3,ROW-END,0,3,1,1,0,0
307000,20,CHAPEL ST,866,0,0,HIGH-RISE,6,4,1,1,0,0
955000,20,CHAPEL ST,2463,0,3,HIGH-RISE,6,8,3,4,0,1
180000,1253,BEACON ST,308,1,3,LOW-RISE,0,2,0,1,0,0
366500,1064,BEACON ST,900,1,3,LOW-RISE,0,4,2,1,0,0
209000,514,HARVARD ST,669,0,1,LOW-RISE,0,3,1,1,0,0
259000,33,POND AVE,870,0,3,HIGH-RISE,5,3,1,1,0,0
540000,1600,BEACON ST,959,1,5,HIGH-RISE,2,4,2,2,0,1
245000,35,HARVARD ST,571,0,3,LOW-RISE,0,3,1,1,0,0
278596,33,POND AVE,870,0,8,HIGH-RISE,5,3,1,1,0,0
850000,74,GREEN ST,1397,0,3,LOW-RISE,2,4,2,2,0,2
625000,28,MANCHESTER RD,1496,0,1,DECKER,0,7,2,1,1,1
528000,17,STRATHMORE RD,1210,0,1,ROW-MIDDLE,0,5,2,1,0,0
356300,19,ENGLEWOOD AVE,792,0,1,LOW-RISE,0,5,2,1,0,0
145000,150,PLEASANT ST,697,0,3,MID-RISE,1,3,1,1,0,1
419000,121,LONGWOOD AVE,820,0,4,LOW-RISE,1,5,1,2,0,0
285000,23,ENGLEWOOD AVE,792,0,3,LOW-RISE,0,5,2,1,0,0
515000,92,MARION ST,1438,0,2,LOW-RISE,0,5,2,2,0,0
320000,22,PERRY ST,720,0,2,ROW-END,0,4,2,1,0,0
485000,143,LONGWOOD AVE,1300,0,3,ROW-MIDDLE,0,6,2,1,0,0
565000,20,EGMONT ST,1814,0,1,ROW-MIDDLE,0,6,3,2,0,0
275000,119,PARK ST,605,0,1,LOW-RISE,0,3,1,1,0,0
1105000,40,DAVIS AVE,3369,0,1,DUPLEX,0,9,5,3,0,0
203000,20,CHAPEL ST,549,0,0,HIGH-RISE,6,4,1,1,0,0
285000,77,POND AVE,860,0,4,HIGH-RISE,5,3,1,1,0,1
